,country_name,iso_code,GDP,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
5,Argentina,ARG,445445000000.0,2805153,2289249,515904,137050,126583,6.21,5.07,1.14
55,Austria,AUT,445075000000.0,1192780,888727,304053,32584,35009,13.24,9.87,3.38
118,Belgium,BEL,533097000000.0,1323086,903656,419430,35039,25780,11.42,7.8,3.62
180,Bulgaria,BGR,68558815112.0,356052,289311,66741,5350,4515,5.12,4.16,0.96
242,Bahrain,BHR,38574069149.0,613946,386426,227520,16500,13360,36.08,22.71,13.37
255,Bolivia,BOL,40895322844.0,155945,144816,11129,5352,3380,1.34,1.24,0.1
273,Brazil,BRA,1839760000000.0,13013331,9709526,3303805,331041,324639,6.12,4.57,1.55
309,Canada,CAN,1736430000000.0,3566328,2950647,615681,156332,121002,9.45,7.82,1.63
414,Chile,CHL,282318000000.0,8142395,5437485,2704910,330864,280401,42.59,28.44,14.15
479,Colombia,COL,323616000000.0,1076496,1022604,53892,52138,69613,2.12,2.01,0.11
493,Czechia,CZE,250681000000.0,1271581,928943,342638,48073,36507,11.87,8.67,3.2
555,Germany,DEU,3861120000000.0,10272858,7098643,3174215,187475,212743,12.26,8.47,3.79
620,Denmark,DNK,350104000000.0,915882,621395,294487,21610,15109,15.81,10.73,5.08
687,Spain,ESP,1393490000000.0,5993363,4106550,1886813,136278,91514,12.82,8.78,4.04
724,Estonia,EST,31471100656.0,204831,150844,53987,5437,6163,15.44,11.37,4.07
762,Finland,FIN,269296000000.0,758780,671647,87133,35626,19106,13.69,12.12,1.57
854,Faeroe Islands,FRO,0.0,9342,5309,4033,172,100,19.12,10.86,8.25
861,United Kingdom,GBR,2829110000000.0,28274802,26263732,2011070,660276,502171,41.65,38.69,2.96
930,Gibraltar,GIB,0.0,49981,29834,20147,653,727,148.35,88.55,59.8
977,Greece,GRC,209853000000.0,1375828,935269,440559,30093,21919,13.2,8.97,4.23
1027,Hungary,HUN,163469000000.0,1922005,1477554,444451,58384,48641,19.9,15.3,4.6
1089,Indonesia,IDN,1119190000000.0,6787283,4838752,1948531,205895,256516,2.48,1.77,0.71
1171,India,IND,2868930000000.0,39339817,32426230,6913587,2196562,1882128,2.85,2.35,0.5
1240,Iceland,ISL,24188038474.0,51283,37179,14104,986,747,15.03,10.89,4.13
1252,Israel,ISR,394652000000.0,9631635,5150703,4480932,73729,73904,111.28,59.51,51.77
1328,Italy,ITA,2003580000000.0,7382010,5073525,2308485,155478,156560,12.21,8.39,3.82
1390,Japan,JPN,5081770000000.0,508702,490413,18289,71217,46788,0.4,0.39,0.01
1399,Lebanon,LBN,51991634492.0,129487,90974,38513,8597,5360,1.9,1.33,0.56
1407,Lithuania,LTU,54627411860.0,390769,272366,118403,8238,8001,14.35,10.01,4.35
1462,Luxembourg,LUX,71104919108.0,70339,52870,17469,3185,2211,11.24,8.45,2.79
1494,Latvia,LVA,34102913582.0,101712,83051,18661,269,1449,5.39,4.4,0.99
1565,Mexico,MEX,1268870000000.0,4947522,4300720,646802,209900,163932,3.84,3.34,0.5
1622,Malta,MLT,14989415684.0,138264,95707,42557,4393,3572,31.31,21.68,9.64
1678,Norway,NOR,403336000000.0,758514,497011,261503,20847,8964,13.99,9.17,4.82
1763,Peru,PER,226848000000.0,623800,436187,187613,29469,21378,1.89,1.32,0.57
1781,Poland,POL,595858000000.0,4893320,3162971,1730349,154418,71723,12.93,8.36,4.57
1826,Portugal,PRT,238785000000.0,1235136,863570,371566,34445,22339,12.11,8.47,3.64
1883,Romania,ROU,250077000000.0,2376330,1614577,761753,51925,50939,12.35,8.39,3.96
1946,Russia,RUS,1699880000000.0,7909438,5431048,2478390,91429,90786,5.42,3.72,1.7
1962,San Marino,SMR,0.0,7328,7299,29,590,435,21.59,21.51,0.09
1965,Serbia,SRB,51475016532.0,2112074,1285223,826851,34877,40676,31.04,18.89,12.15
1989,Slovakia,SVK,105080000000.0,718114,488134,229980,19092,17247,13.15,8.94,4.21
2050,Slovenia,SVN,54174227309.0,278997,179449,99548,10039,5749,13.42,8.63,4.79
2111,Sweden,SWE,530884000000.0,1255364,883561,371803,31942,25385,12.43,8.75,3.68
2125,Turkey,TUR,761425000000.0,12431482,7991510,4439972,289237,275570,14.74,9.48,5.26
2163,United States,USA,21433200000000.0,115730008,75495716,40981464,2692381,2503731,34.6,22.57,12.25
2222,South Africa,ZAF,351432000000.0,177275,177275,177275,8862,5609,0.3,0.3,0.3
