,HDI rank,country_name,Human Development Type,Human Development Index HDI 2019,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schoolingn 2019,Gross national income GNI per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,iso_code,GDP,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,Population 2019
0,1,Norway,Very High,0.957,82.4,18.06615,12.89775,66494.25217,7,1,NOR,403336000000.0,758514,497011,261503,20847,8964,13.99,9.17,4.82,5347896.0
1,4,Iceland,Very High,0.949,82.99,19.08309,12.77278684,54682.38057,14,4,ISL,24188038474.0,51283,37179,14104,986,747,15.03,10.89,4.13,361313.0
2,6,Germany,Very High,0.947,81.33,16.97719,14.15168,55314.35355,11,4,DEU,3861120000000.0,10272858,7098643,3174215,187475,212743,12.26,8.47,3.79,83132799.0
3,7,Sweden,Very High,0.945,82.8,19.48234,12.54847,54507.80504,12,7,SWE,530884000000.0,1255364,883561,371803,31942,25385,12.43,8.75,3.68,10285453.0
4,10,Denmark,Very High,0.94,80.9,18.89342,12.61380326,58661.87084,2,10,DNK,350104000000.0,915882,621395,294487,21610,15109,15.81,10.73,5.08,5818553.0
5,11,Finland,Very High,0.938,81.91,19.39712,12.82413,48511.3978,11,11,FIN,269296000000.0,758780,671647,87133,35626,19106,13.69,12.12,1.57,5520314.0
6,13,United Kingdom,Very High,0.932,81.32,17.49843,13.24287,46070.64481,13,14,GBR,2829110000000.0,28274802,26263732,2011070,660276,502171,41.65,38.69,2.96,66834405.0
7,14,Belgium,Very High,0.931,81.63,19.77438,12.05027,52084.59209,6,13,BEL,533097000000.0,1323086,903656,419430,35039,25780,11.42,7.8,3.62,11484055.0
8,16,Canada,Very High,0.929,82.43,16.15789,13.36610479,48527.03573,5,14,CAN,1736430000000.0,3566328,2950647,615681,156332,121002,9.45,7.82,1.63,37589262.0
9,17,United States,Very High,0.926,78.86,16.31039,13.41344,63825.65748,-7,17,USA,21433200000000.0,115730008,75495716,40981464,2692381,2503731,34.6,22.57,12.25,328239523.0
10,18,Austria,Very High,0.922,81.54,16.09207,12.5461436,56196.89869,-3,18,AUT,445075000000.0,1192780,888727,304053,32584,35009,13.24,9.87,3.38,8877067.0
11,19,Israel,Very High,0.919,82.97,16.16283,13.0348541,40186.84583,14,21,ISR,394652000000.0,9631635,5150703,4480932,73729,73904,111.28,59.51,51.77,9053300.0
12,19,Japan,Very High,0.919,84.63,15.23057,12.85,42931.69575,9,20,JPN,5081770000000.0,508702,490413,18289,71217,46788,0.4,0.39,0.01,126264931.0
13,22,Slovenia,Very High,0.917,81.32,17.57206,12.65874,38079.53399,15,24,SVN,54174227309.0,278997,179449,99548,10039,5749,13.42,8.63,4.79,2087946.0
14,23,Luxembourg,Very High,0.916,82.25,14.25582,12.31145,72711.67412,-19,23,LUX,71104919108.0,70339,52870,17469,3185,2211,11.24,8.45,2.79,619896.0
15,25,Spain,Very High,0.904,83.57,17.61613,10.25178,40974.52408,6,25,ESP,1393490000000.0,5993363,4106550,1886813,136278,91514,12.82,8.78,4.04,47076781.0
16,28,Malta,Very High,0.895,82.53,16.10407,11.32613,39554.52078,6,28,MLT,14989415684.0,138264,95707,42557,4393,3572,31.31,21.68,9.64,502653.0
17,29,Estonia,Very High,0.892,78.75,15.989,13.14306146,36019.26692,9,30,EST,31471100656.0,204831,150844,53987,5437,6163,15.44,11.37,4.07,1326590.0
18,29,Italy,Very High,0.892,83.51,16.0889,10.37955,42776.35692,0,29,ITA,2003580000000.0,7382010,5073525,2308485,155478,156560,12.21,8.39,3.82,60297396.0
19,32,Greece,Very High,0.888,82.24,17.90792,10.55207,30154.63438,14,33,GRC,209853000000.0,1375828,935269,440559,30093,21919,13.2,8.97,4.23,10716322.0
20,34,Lithuania,Very High,0.882,75.93,16.63731,13.07721,35798.67041,5,35,LTU,54627411860.0,390769,272366,118403,8238,8001,14.35,10.01,4.35,2786844.0
21,35,Poland,Very High,0.88,78.73,16.30117063,12.47232,31622.55302,8,34,POL,595858000000.0,4893320,3162971,1730349,154418,71723,12.93,8.36,4.57,37970874.0
22,37,Latvia,Very High,0.866,75.29,16.16769,13.03085,30282.39353,8,37,LVA,34102913582.0,101712,83051,18661,269,1449,5.39,4.4,0.99,1912789.0
23,38,Portugal,Very High,0.864,82.05,16.53579,9.26347,33966.82756,2,38,PRT,238785000000.0,1235136,863570,371566,34445,22339,12.11,8.47,3.64,10269417.0
24,40,Hungary,Very High,0.854,76.88,15.20418,11.96329,31328.80599,4,42,HUN,163469000000.0,1922005,1477554,444451,58384,48641,19.9,15.3,4.6,9769949.0
25,42,Bahrain,Very High,0.852,77.29,16.25482,9.5192,42521.70451,-12,41,BHR,38574069149.0,613946,386426,227520,16500,13360,36.08,22.71,13.37,1641172.0
26,43,Chile,Very High,0.851,80.18,16.44755,10.58295,23261.29726,16,43,CHL,282318000000.0,8142395,5437485,2704910,330864,280401,42.59,28.44,14.15,18952038.0
27,46,Argentina,Very High,0.845,76.67,17.6542,10.94060102,21190.17661,16,46,ARG,445445000000.0,2805153,2289249,515904,137050,126583,6.21,5.07,1.14,44938712.0
28,49,Romania,Very High,0.828,76.05,14.25988,11.0708,29497.23164,-1,49,ROU,250077000000.0,2376330,1614577,761753,51925,50939,12.35,8.39,3.96,19356544.0
29,54,Turkey,Very High,0.82,77.69,16.60266555,8.10682,27700.89481,-4,54,TUR,761425000000.0,12431482,7991510,4439972,289237,275570,14.74,9.48,5.26,83429615.0
30,56,Bulgaria,Very High,0.816,75.05,14.41442,11.36009,23324.6574,2,55,BGR,68558815112.0,356052,289311,66741,5350,4515,5.12,4.16,0.96,6975761.0
31,64,Serbia,Very High,0.806,76.0,14.73747,11.19411,17191.66873,8,65,SRB,51475016532.0,2112074,1285223,826851,34877,40676,31.04,18.89,12.15,6944975.0
32,74,Mexico,High,0.779,75.05,14.80978,8.75461,19159.83967,-8,76,MEX,1268870000000.0,4947522,4300720,646802,209900,163932,3.84,3.34,0.5,127575529.0
33,79,Peru,High,0.777,76.74,14.99071,9.69633,12252.30018,19,78,PER,226848000000.0,623800,436187,187613,29469,21378,1.89,1.32,0.57,32510453.0
34,83,Colombia,High,0.767,77.29,14.39861,8.46873,14256.67085,3,83,COL,323616000000.0,1076496,1022604,53892,52138,69613,2.12,2.01,0.11,50339443.0
