,iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
0,AFG,Asia,Afghanistan,56044.0,2462.0,1439.671,63.244,38928341.0,54.422,18.6,2.581,1.337,1803.987,64.83,0.511
2,ALB,Europe,Albania,119528.0,2106.0,41534.506,731.809,2877800.0,104.871,38.0,13.188,8.643,11803.431,78.57,0.795
3,DZA,Africa,Algeria,115842.0,3051.0,2641.716,69.576,43851043.0,17.348,29.1,6.211,3.857,13913.839,76.88,0.748
5,AGO,Africa,Angola,21558.0,522.0,655.931,15.883,32866268.0,23.89,16.8,2.405,1.362,5819.495,61.15,0.581
7,ATG,North America,Antigua and Barbuda,1008.0,27.0,10293.277,275.713,97928.0,231.845,32.1,6.933,4.631,21490.943,77.02,0.778
8,ARG,South America,Argentina,2226753.0,54386.0,49269.05,1203.343,45195777.0,16.177,31.9,11.198,7.441,18933.907,76.67,0.845
9,ARM,Asia,Armenia,181165.0,3301.0,61137.595,1113.986,2963234.0,102.931,35.7,11.232,7.571,8787.58,75.09,0.776
11,AUS,Oceania,Australia,29183.0,909.0,1144.437,35.647,25499881.0,3.202,37.9,15.504,10.129,44648.71,83.44,0.944
12,AUT,Europe,Austria,504581.0,8982.0,56024.716,997.291,9006400.0,106.749,44.4,19.202,13.748,45436.686,81.54,0.922
13,AZE,Asia,Azerbaijan,243424.0,3314.0,24008.265,326.851,10139175.0,119.309,32.4,6.018,3.871,15847.419,73.0,0.756
14,BHS,North America,Bahamas,8800.0,186.0,22377.736,472.984,393248.0,39.497,34.3,8.996,5.2,27717.847,73.92,0.814
15,BHR,Asia,Bahrain,133779.0,491.0,78620.32,288.555,1701583.0,1935.907,32.4,2.372,1.387,43290.705,77.29,0.852
16,BGD,Asia,Bangladesh,564939.0,8624.0,3430.33,52.365,164689383.0,1265.036,27.5,5.098,3.262,3523.984,72.59,0.632
17,BRB,North America,Barbados,3492.0,39.0,12151.539,135.713,287371.0,664.463,39.8,14.952,9.473,16978.068,79.19,0.814
18,BLR,Europe,Belarus,306524.0,2130.0,32438.733,225.413,9449321.0,46.858,40.3,14.799,9.788,17167.967,74.79,0.823
19,BEL,Europe,Belgium,822801.0,22624.0,70994.673,1952.092,11589616.0,375.564,41.8,18.571,12.849,42658.576,81.63,0.931
20,BLZ,North America,Belize,12399.0,316.0,31182.961,794.727,397621.0,16.426,25.0,3.853,2.279,7824.362,74.62,0.716
21,BEN,Africa,Benin,6501.0,81.0,536.245,6.681,12123198.0,99.11,18.8,3.244,1.942,2064.236,61.77,0.545
23,BTN,Asia,Bhutan,868.0,1.0,1124.918,1.296,771612.0,21.188,28.6,4.885,2.977,8708.597,71.78,0.654
24,BOL,South America,Bolivia,262941.0,12028.0,22525.516,1030.41,11673029.0,10.202,25.4,6.704,4.393,6885.829,71.51,0.718
25,BIH,Europe,Bosnia and Herzegovina,149891.0,5729.0,45687.123,1746.212,3280815.0,68.496,42.5,16.569,10.711,11713.895,77.4,0.78
26,BWA,Africa,Botswana,35493.0,458.0,15092.968,194.759,2351625.0,4.044,25.8,3.941,2.242,15807.374,69.59,0.735
27,BRA,South America,Brazil,11780820.0,287499.0,55423.658,1352.558,212559409.0,25.04,33.5,8.552,5.06,14103.452,75.88,0.765
28,BRN,Asia,Brunei,203.0,3.0,464.018,6.857,437483.0,81.347,32.4,4.591,2.382,71809.251,75.86,0.838
29,BGR,Europe,Bulgaria,295777.0,11817.0,42567.366,1700.668,6948445.0,65.18,44.7,20.801,13.272,18563.307,75.05,0.816
30,BFA,Africa,Burkina Faso,12450.0,145.0,595.6,6.937,20903278.0,70.151,17.6,2.409,1.358,1703.102,61.58,0.452
31,BDI,Africa,Burundi,2542.0,3.0,213.779,0.252,11890781.0,423.062,17.5,2.562,1.504,702.225,61.58,0.433
32,KHM,Asia,Cambodia,1578.0,1.0,94.384,0.06,16718971.0,90.672,25.6,4.412,2.385,3645.07,69.82,0.594
33,CMR,Africa,Cameroon,40622.0,601.0,1530.257,22.64,26545864.0,50.885,18.8,3.165,1.919,3364.926,59.29,0.563
34,CAN,North America,Canada,928283.0,22577.0,24595.388,598.191,37742157.0,4.037,41.4,16.984,10.797,44017.591,82.43,0.929
35,CPV,Africa,Cape Verde,16298.0,158.0,29313.582,284.179,555988.0,135.58,25.7,4.46,3.437,6222.554,72.98,0.665
37,CAF,Africa,Central African Republic,5075.0,64.0,1050.776,13.251,4829764.0,7.479,18.3,3.655,2.251,661.24,53.28,0.397
38,TCD,Africa,Chad,4380.0,157.0,266.653,9.558,16425859.0,11.833,16.7,2.486,1.446,1768.153,54.24,0.398
39,CHL,South America,Chile,911469.0,21988.0,47680.427,1150.228,19116209.0,24.282,35.4,11.087,6.938,22767.037,80.18,0.851
40,CHN,Asia,China,101481.0,4839.0,70.506,3.362,1439323774.0,147.674,38.7,10.641,5.929,15308.712,76.91,0.761
41,COL,South America,Colombia,2319293.0,61636.0,45581.005,1211.331,50882884.0,44.223,32.2,7.646,4.312,13254.949,77.29,0.767
