country_name,iso_code,population_2019,people_fully_vaccinated,gdp_2019
Morocco,MAR,36471769,14275936.0,120000000000.0
Israel,ISR,9053300,172194637.0,395000000000.0
Hungary,HUN,9769949,11583577.0,163000000000.0
Austria,AUT,8877067,9744762.0,445000000000.0
South Africa,ZAF,58558270,2464155.0,351000000000.0
Greece,GRC,10716322,9937428.0,210000000000.0
United Kingdom,GBR,66834405,52677525.0,2830000000000.0
Denmark,DNK,5818553,9302367.0,350000000000.0
Romania,ROU,19356544,24917995.0,250000000000.0
Turkey,TUR,83429615,76988429.0,761000000000.0
Iceland,ISL,361313,123214.0,24188038474.0
Albania,ALB,2854191,611.0,15279183290.0
Portugal,PRT,10269417,11577960.0,239000000000.0
Montenegro,MNE,622137,793.0,5542577965.0
Bahrain,BHR,1641172,3008350.0,38574069149.0
Seychelles,SYC,97625,162515.0,1703387387.0
Estonia,EST,1326590,1063435.0,31471100656.0
Switzerland,CHE,8574832,8521501.0,703000000000.0
Norway,NOR,5347896,6499288.0,403000000000.0
Indonesia,IDN,270625568,29328029.0,1120000000000.0
Poland,POL,37970874,29733911.0,596000000000.0
Serbia,SRB,6944975,16226834.0,51475016532.0
Ireland,IRL,4941444,4793326.0,389000000000.0
Lebanon,LBN,6855713,230376.0,51991634492.0
India,IND,1366417754,112994698.0,2870000000000.0
United Arab Emirates,ARE,9770529,2437849.0,421000000000.0
Colombia,COL,50339443,304574.0,324000000000.0
Bulgaria,BGR,6975761,1849268.0,68558815112.0
Croatia,HRV,4067500,94423.0,60752588976.0
Lithuania,LTU,2786844,3382023.0,54627411860.0
Russian Federation,RUS,144373535,28883062.0,1700000000000.0
Finland,FIN,5520314,2876297.0,269000000000.0
Japan,JPN,126264931,71132.0,5080000000000.0
France,FRA,67059887,51902063.0,2720000000000.0
Luxembourg,LUX,619896,270419.0,71104919108.0
Brazil,BRA,211049527,51700540.0,1840000000000.0
Sweden,SWE,10285453,1117198.0,531000000000.0
Italy,ITA,60297396,75331379.0,2000000000000.0
Canada,CAN,37589262,21707549.0,1740000000000.0
Chile,CHL,18952038,29135198.0,282000000000.0
United States,USA,328239523,1094314170.0,21400000000000.0
Slovenia,SVN,2087946,2878305.0,54174227309.0
Oman,OMN,4974986,309314.0,76331518669.0
Belgium,BEL,11484055,12832611.0,533000000000.0
Singapore,SGP,5703569,218694.0,372000000000.0
Ecuador,ECU,17373662,38821.0,107000000000.0
Spain,ESP,47076781,32751017.0,1390000000000.0
Mexico,MEX,127575529,15556201.0,1270000000000.0
Argentina,ARG,44938712,13173905.0,445000000000.0
Malta,MLT,502653,1151310.0,14989415684.0
San Marino,SMR,33860,64.0,0.0
Latvia,LVA,1912789,725175.0,34102913582.0
Germany,DEU,83132799,95848255.0,3860000000000.0
Peru,PER,32510453,1660529.0,227000000000.0
Ukraine,UKR,44385155,1.0,154000000000.0
