"country_name","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","country_name-2","iso_code-2","Indicator Name","Indicator Code","2019","2020"
"Albania","ALB","2021-02-18",3049,2438,611,1348,254,0.11,0.08,0.02,"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD",15279183290,0
"United Arab Emirates","ARE","2021-02-23",5668264,3480415,2187849,110471,67077,57.31,35.19,22.12,"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD",421142000000,0
"United Arab Emirates","ARE","2021-01-10",1086568,836568,250000,66219,52053,10.99,8.46,2.53,"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD",421142000000,0
"Argentina","ARG","2021-03-20",3063864,2472426,591438,124500,109875,6.78,5.47,1.31,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-19",2939364,2382859,556505,134211,120166,6.5,5.27,1.23,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-18",2805153,2289249,515904,137050,126583,6.21,5.07,1.14,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-17",2668103,2170116,497987,126741,127666,5.9,4.8,1.1,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-16",2541362,2064529,476833,137168,127486,5.62,4.57,1.06,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-15",2404194,1952883,451311,22765,122499,5.32,4.32,1,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-14",2381429,1932696,448733,86691,122193,5.27,4.28,0.99,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-13",2294738,1876113,418625,196533,121843,5.08,4.15,0.93,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-12",2098205,1719543,378662,179131,105801,4.64,3.8,0.84,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-11",1919074,1564555,354519,144636,95230,4.25,3.46,0.78,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-10",1774438,1424984,349454,125481,84735,3.93,3.15,0.77,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-09",1648957,1301787,347170,102258,74693,3.65,2.88,0.77,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-08",1546699,1202998,343701,20621,71076,3.42,2.66,0.76,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-05",1357596,1030504,327092,105135,64812,3,2.28,0.72,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-04",1252461,941695,310766,71169,60376,2.77,2.08,0.69,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-03",1181292,874916,306376,55184,57262,2.61,1.94,0.68,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-02",1126108,823446,302662,76939,54213,2.49,1.82,0.67,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-03-01",1049169,755212,293957,24166,46705,2.32,1.67,0.65,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-28",1025003,731571,293432,40108,43534,2.27,1.62,0.65,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-27",984895,694470,290425,80980,39678,2.18,1.54,0.64,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-26",903915,620635,283280,74083,33609,2,1.37,0.63,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-25",829832,558831,271001,49377,27750,1.84,1.24,0.6,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-24",780455,513394,267061,33840,24019,1.73,1.14,0.59,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-23",746615,481689,264926,24381,19349,1.65,1.07,0.59,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-22",722234,458822,263412,1967,16063,1.6,1.02,0.58,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-21",720267,456929,263338,13119,15809,1.59,1.01,0.58,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-20",707148,445614,261534,38494,14415,1.56,0.99,0.58,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-19",668654,414958,253696,33071,11003,1.48,0.92,0.56,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-18",635583,392399,243184,23261,8951,1.41,0.87,0.54,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-17",612322,374002,238320,1153,11003,1.35,0.83,0.53,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
"Argentina","ARG","2021-02-16",611169,373253,237916,1378,13999,1.35,0.83,0.53,"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",445445000000,0
