country_name,iso_code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405463417.1,487602457.7,596423607.1,695304363.0,764887117.2,872138715.1,958463184.4,1082979721.0,1245688268.0,1320474860.0,1379960894.0,1531944134.0,1665100559.0,1722798883.0,1873452514.0,1920111732.0,1941340782.0,2021229050.0,2228491620.0,2330726257.0,2424581006.0,2615083799.0,2745251397.0,2498882682.0,2390502793.0,2549720670.0,2534636872.0,2701675978.0,2765363128.0,2919553073.0,2965921788.0,3056424581.0,0.0,0.0,0.0
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4055179566.0,4515558808.0,5226778809.0,6209137625.0,6971285595.0,9747879532.0,10109225814.0,12439087077.0,15856574731.0,17804292964.0,20001598506.0,20561069558.0,20484885120.0,19907111419.0,18017749074.0,18869945678.0,18353881130.0,19291104008.0,0.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812705294.0,23552052408.0,36970918699.0,52381006892.0,65266452081.0,88538611205.0,70307163678.0,83799496611.0,111790000000.0,128053000000.0,136710000000.0,145712000000.0,116194000000.0,101124000000.0,122124000000.0,101353000000.0,88815697793.0,0.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857338012.0,1897050133.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880951520.0,2392764853.0,3199642580.0,2258515610.0,2545967253.0,3212119044.0,3480355189.0,3922099471.0,4348070165.0,5611492283.0,7184681399.0,8052075642.0,8896073938.0,10677321490.0,12881354104.0,12044223353.0,11926928506.0,12890765324.0,12319830252.0,12776217195.0,13228144008.0,11386846319.0,11861200797.0,13019693451.0,15147020535.0,15279183290.0,0.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1429049198.0,1546926174.0,1755910032.0,2361726862.0,2894921778.0,3159905484.0,3456442103.0,3952600602.0,4085630584.0,3674409558.0,3449966857.0,3629203786.0,3188808943.0,3193704343.0,3271808157.0,2789870188.0,2896679212.0,3000180750.0,3218316013.0,3154057987.0,0.0
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25891606124.0,28429146975.0,32013340941.0,37045140367.0,44182128971.0,55922081752.0,105711000000.0,117103000000.0,145485000000.0,167530000000.0,183970000000.0,248971000000.0,337549000000.0,348014000000.0,326468000000.0,306719000000.0,311103000000.0,307935000000.0,294002000000.0,313464000000.0,308330000000.0,323313000000.0,447403000000.0,441364000000.0,472396000000.0,477750000000.0,488311000000.0,524627000000.0,579109000000.0,614123000000.0,592264000000.0,644527000000.0,735685000000.0,722917000000.0,726833000000.0,821090000000.0,965101000000.0,1186140000000.0,1406000000000.0,1639310000000.0,2080970000000.0,1795740000000.0,2103330000000.0,2494030000000.0,2773500000000.0,2856370000000.0,2894390000000.0,2534720000000.0,2469440000000.0,2516120000000.0,2771380000000.0,2817410000000.0,0.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14720672507.0,19213022691.0,24871775165.0,23775831783.0,31225463218.0,43598748449.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,289787000000.0,350666000000.0,374591000000.0,390108000000.0,403137000000.0,358135000000.0,357045000000.0,385606000000.0,422215000000.0,421142000000.0,0.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,26436857247.0,31256284544.0,31584210366.0,33293199095.0,34733000536.0,52544000117.0,72436777342.0,52438647922.0,51169499891.0,56781000101.0,58082870156.0,69252328953.0,76961923742.0,78676842366.0,84307486837.0,103979000000.0,79092001998.0,88416668900.0,110934000000.0,111106000000.0,126207000000.0,76636898036.0,141352000000.0,189720000000.0,228789000000.0,236742000000.0,257440000000.0,258032000000.0,272150000000.0,292859000000.0,298948000000.0,283523000000.0,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,643629000000.0,517627000000.0,445445000000.0,0.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256838858.0,2068526522.0,1272577456.0,1201313201.0,1315158670.0,1468317350.0,1596968913.0,1639492424.0,1893726437.0,1845482181.0,1911563665.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0,0.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,642000000.0,661000000.0,652000000.0,602000000.0,636000000.0,0.0,0.0
