country_name,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Albania,ALB,2021-02-18,3049.0,2438.0,611.0,1348.0,254.0,0.11,0.08,0.02
Argentina,ARG,2021-01-21,265724.0,249372.0,16352.0,17791.0,11704.0,0.59,0.55,0.04
Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,13878.0,11263.0,0.62,0.56,0.06
Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,8462.0,11124.0,0.64,0.57,0.06
Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,3959.0,10342.0,0.65,0.58,0.07
Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,363.0,9046.0,0.65,0.58,0.07
Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,13494.0,9626.0,0.68,0.59,0.09
Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,12153.0,10014.0,0.7,0.6,0.1
Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,9966.0,8896.0,0.73,0.61,0.11
Argentina,ARG,2021-01-29,344034.0,278451.0,65583.0,16035.0,9205.0,0.76,0.62,0.15
Argentina,ARG,2021-01-30,366384.0,281023.0,85361.0,22350.0,11189.0,0.81,0.62,0.19
Argentina,ARG,2021-02-04,444018.0,297717.0,146301.0,47456.0,16574.0,0.98,0.66,0.32
Argentina,ARG,2021-02-07,501152.0,319316.0,181836.0,29769.0,18576.0,1.11,0.71,0.4
Argentina,ARG,2021-02-08,511582.0,322318.0,189264.0,10430.0,19390.0,1.13,0.71,0.42
Argentina,ARG,2021-02-09,513178.0,322975.0,190203.0,1596.0,18139.0,1.14,0.71,0.42
Argentina,ARG,2021-02-10,535303.0,337772.0,197531.0,22125.0,19820.0,1.18,0.75,0.44
Argentina,ARG,2021-02-11,572928.0,362649.0,210279.0,37625.0,18416.0,1.27,0.8,0.47
Argentina,ARG,2021-02-12,591632.0,368023.0,223609.0,18704.0,19133.0,1.31,0.81,0.49
Argentina,ARG,2021-02-13,606245.0,371629.0,234616.0,14613.0,19266.0,1.34,0.82,0.52
Argentina,ARG,2021-02-14,609605.0,372122.0,237483.0,3360.0,15493.0,1.35,0.82,0.53
Argentina,ARG,2021-02-15,609791.0,372181.0,237610.0,186.0,14030.0,1.35,0.82,0.53
Argentina,ARG,2021-02-16,611169.0,373253.0,237916.0,1378.0,13999.0,1.35,0.83,0.53
Argentina,ARG,2021-02-17,612322.0,374002.0,238320.0,1153.0,11003.0,1.35,0.83,0.53
Argentina,ARG,2021-02-18,635583.0,392399.0,243184.0,23261.0,8951.0,1.41,0.87,0.54
Argentina,ARG,2021-02-19,668654.0,414958.0,253696.0,33071.0,11003.0,1.48,0.92,0.56
Argentina,ARG,2021-02-20,707148.0,445614.0,261534.0,38494.0,14415.0,1.56,0.99,0.58
Argentina,ARG,2021-02-21,720267.0,456929.0,263338.0,13119.0,15809.0,1.59,1.01,0.58
Argentina,ARG,2021-02-22,722234.0,458822.0,263412.0,1967.0,16063.0,1.6,1.02,0.58
Argentina,ARG,2021-02-23,746615.0,481689.0,264926.0,24381.0,19349.0,1.65,1.07,0.59
Argentina,ARG,2021-02-24,780455.0,513394.0,267061.0,33840.0,24019.0,1.73,1.14,0.59
Argentina,ARG,2021-02-25,829832.0,558831.0,271001.0,49377.0,27750.0,1.84,1.24,0.6
Argentina,ARG,2021-02-26,903915.0,620635.0,283280.0,74083.0,33609.0,2.0,1.37,0.63
Argentina,ARG,2021-02-27,984895.0,694470.0,290425.0,80980.0,39678.0,2.18,1.54,0.64
Argentina,ARG,2021-02-28,1025003.0,731571.0,293432.0,40108.0,43534.0,2.27,1.62,0.65
Argentina,ARG,2021-03-01,1049169.0,755212.0,293957.0,24166.0,46705.0,2.32,1.67,0.65
Argentina,ARG,2021-03-02,1126108.0,823446.0,302662.0,76939.0,54213.0,2.49,1.82,0.67
Argentina,ARG,2021-03-03,1181292.0,874916.0,306376.0,55184.0,57262.0,2.61,1.94,0.68
Argentina,ARG,2021-03-04,1252461.0,941695.0,310766.0,71169.0,60376.0,2.77,2.08,0.69
Argentina,ARG,2021-03-05,1357596.0,1030504.0,327092.0,105135.0,64812.0,3.0,2.28,0.72
Argentina,ARG,2021-03-08,1546699.0,1202998.0,343701.0,20621.0,71076.0,3.42,2.66,0.76
