country_name,iso_code,population_2019,people_fully_vaccinated,gdp_2019,latitude,longitude,Location1,location2,location
Morocco,MAR,36471769,14275936,1.20E+11,31.791702,-7.09262,"31.791702, -7.09262","[31.791702, -7.09262]","[31.791702, -7.09262]"
Israel,ISR,9053300,172194637,3.95E+11,31.046051,34.851612,"31.046051, 34.851612","[31.046051, 34.851612]","[31.046051, 34.851612]"
Hungary,HUN,9769949,11583577,1.63E+11,47.162494,19.503304,"47.162494, 19.503304","[47.162494, 19.503304]","[47.162494, 19.503304]"
Austria,AUT,8877067,9744762,4.45E+11,47.516231,14.550072,"47.516231, 14.550072","[47.516231, 14.550072]","[47.516231, 14.550072]"
South Africa,ZAF,58558270,2464155,3.51E+11,-30.559482,22.937506,"-30.559482, 22.937506","[-30.559482, 22.937506]","[-30.559482, 22.937506]"
Greece,GRC,10716322,9937428,2.10E+11,39.074208,21.824312,"39.074208, 21.824312","[39.074208, 21.824312]","[39.074208, 21.824312]"
United Kingdom,GBR,66834405,52677525,2.83E+12,55.378051,-3.435973,"55.378051, -3.435973","[55.378051, -3.435973]","[55.378051, -3.435973]"
Denmark,DNK,5818553,9302367,3.50E+11,56.26392,9.501785,"56.26392, 9.501785","[56.26392, 9.501785]","[56.26392, 9.501785]"
Romania,ROU,19356544,24917995,2.50E+11,45.943161,24.96676,"45.943161, 24.96676","[45.943161, 24.96676]","[45.943161, 24.96676]"
Turkey,TUR,83429615,76988429,7.61E+11,38.963745,35.243322,"38.963745, 35.243322","[38.963745, 35.243322]","[38.963745, 35.243322]"
Iceland,ISL,361313,123214,24188038474,64.963051,-19.020835,"64.963051, -19.020835","[64.963051, -19.020835]","[64.963051, -19.020835]"
Albania,ALB,2854191,611,15279183290,41.153332,20.168331,"41.153332, 20.168331","[41.153332, 20.168331]","[41.153332, 20.168331]"
Portugal,PRT,10269417,11577960,2.39E+11,39.399872,-8.224454,"39.399872, -8.224454","[39.399872, -8.224454]","[39.399872, -8.224454]"
Montenegro,MNE,622137,793,5542577965,42.708678,19.37439,"42.708678, 19.37439","[42.708678, 19.37439]","[42.708678, 19.37439]"
Bahrain,BHR,1641172,3008350,38574069149,25.930414,50.637772,"25.930414, 50.637772","[25.930414, 50.637772]","[25.930414, 50.637772]"
Seychelles,SYC,97625,162515,1703387387,-4.679574,55.491977,"-4.679574, 55.491977","[-4.679574, 55.491977]","[-4.679574, 55.491977]"
Estonia,EST,1326590,1063435,31471100656,58.595272,25.013607,"58.595272, 25.013607","[58.595272, 25.013607]","[58.595272, 25.013607]"
Switzerland,CHE,8574832,8521501,7.03E+11,46.818188,8.227512,"46.818188, 8.227512","[46.818188, 8.227512]","[46.818188, 8.227512]"
Norway,NOR,5347896,6499288,4.03E+11,60.472024,8.468946,"60.472024, 8.468946","[60.472024, 8.468946]","[60.472024, 8.468946]"
