"country_name","population_2020","people_fully_vaccinated","iso_code"
"Morocco","36985624",14275936,"MAR"
"Israel","8678517",172194637,"ISR"
"Faroe Islands","0",20695,"FRO"
"Hungary","9655983",11583577,"HUN"
"Austria","9015361",9744762,"AUT"
"South Africa","59436725",2464155,"ZAF"
"Greece","10413936",9937428,"GRC"
"Slovak Republic","0",5787345,"SVK"
"United Kingdom","67948282",52677525,"GBR"
"Denmark","5795780",9302367,"DNK"
"Romania","19214608",24917995,"ROU"
"Turkey","84495243",76988429,"TUR"
"Iceland","341628",123214,"ISL"
"Portugal","10191409",11577960,"PRT"
"Albania","2877239",611,"ALB"
"Montenegro","628080",793,"MNE"
"Gibraltar","33689",563453,"GIB"
"Bahrain","1711057",3008350,"BHR"
"Seychelles","98453",162515,"SYC"
"Isle of Man","85112",247187,"IMN"
"Estonia","1326693",1063435,"EST"
"Switzerland","8665615",8521501,"CHE"
"Bolivia","11700207",176096,"BOL"
"Norway","5428594",6499288,"NOR"
"Indonesia","274021604",29328029,"IDN"
"Poland","37839255",29733911,"POL"
"Serbia","8731081",16226834,"SRB"
"Ireland","4947267",4793326,"IRL"
"Lebanon","6819976",230376,"LBN"
"Wales","3,153,000",4979451,"OWID_WLS"
"Czech Republic","0",10666656,"CZE"
"India","1382345085",112994698,"IND"
"United Arab Emirates","9910892",2437849,"ARE"
"Colombia","50976248",304574,"COL"
"Bulgaria","6939018",1849268,"BGR"
"Scotland","5,469,000",3621064,"OWID_SCT"
"Lithuania","2715340",3382023,"LTU"
"Croatia","4100719",94423,"HRV"
"Korea, Rep.","0",313,"KOR"
"Russian Federation","0",28883062,"RUS"
"England","56,287,000",41838900,"OWID_ENG"
"Finland","5542237",2876297,"FIN"
"Japan","126407422",71132,"JPN"
"France","65298930",51902063,"FRA"
"Luxembourg","627704",270419,"LUX"
"Brazil","212821986",51700540,"BRA"
"Sweden","10110233",1117198,"SWE"
"Italy","60446035",75331379,"ITA"
"Canada","37799407",21707549,"CAN"
"United States","331341050",1094314170,"USA"
"Chile","19144605",29135198,"CHL"
"Slovenia","2078989",2878305,"SVN"
"Oman","5128058",309314,"OMN"
"Belgium","11598451",12832611,"BEL"
"Singapore","5858322",218694,"SGP"
"Northern Ireland","1,900,200",2237651,"OWID_NIR"
"Ecuador","17688599",38821,"ECU"
"Spain","46757980",32751017,"ESP"
"Mexico","129166028",15556201,"MEX"
"Argentina","45267449",13173905,"ARG"
"Malta","441750",1151310,"MLT"
"San Marino","33944",64,"SMR"
"Cayman Islands","65854",33394,"CYM"
"Latvia","1882408",725175,"LVA"
"Germany","83830972",95848255,"DEU"
"Peru","33050211",1660529,"PER"
"Ukraine","43686577",1,"UKR"
