,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
388,AFG,Asia,Afghanistan,3/18/21,56044.0,28.0,18.143,2462.0,2.0,1.571,1439.671,0.719,0.466,63.244,0.051,0.04,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
799,OWID_AFR,,Africa,3/18/21,4075556.0,11332.0,9806.143,108932.0,261.0,275.143,3040.103,8.453,7.315,81.256,0.195,0.205,,,,,,,,,,,,,,,,,,,7818857.0,5597968.0,2321849.0,187247.0,249664.0,0.58,0.42,0.17,186.0,,1340598113.0,,,,,,,,,,,,,,
1198,ALB,Europe,Albania,3/18/21,119528.0,590.0,583.714,2106.0,14.0,14.857,41534.506,205.018,202.834,731.809,4.865,5.163,0.8,,,,,,,,,2994.0,500736.0,174.0,1.04,3131.0,1.088,0.186,5.4,tests performed,,,,,1960.0,,,,681.0,60.19,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
1597,DZA,Africa,Algeria,3/18/21,115842.0,154.0,141.571,3051.0,3.0,3.286,2641.716,3.512,3.228,69.576,0.068,0.075,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
1990,AND,Europe,Andorra,3/18/21,11393.0,33.0,37.571,113.0,0.0,0.143,147453.569,427.102,486.267,1462.499,0.0,1.849,1.16,,,,,,,,,,,,,350.0,4.53,0.107,9.3,people tested,,,,,493.0,,,,6381.0,55.56,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
2365,AGO,Africa,Angola,3/18/21,21558.0,69.0,50.429,522.0,0.0,0.714,655.931,2.099,1.534,15.883,0.0,0.022,1.06,,,,,,,,,,,,,,,,,,49000.0,49000.0,,,4283.0,0.15,0.15,,130.0,58.33,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
2419,AIA,North America,Anguilla,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,4133.0,,15002.0,,,,,,,,,,,,,81.88,
2791,ATG,North America,Antigua and Barbuda,3/18/21,1008.0,16.0,18.0,27.0,0.0,0.571,10293.277,163.385,183.809,275.713,0.0,5.835,1.02,,,,,,,,,,,,,,,,,,,,,,674.0,,,,6883.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
3245,ARG,South America,Argentina,3/18/21,2226753.0,8328.0,6979.286,54386.0,155.0,127.571,49269.05,184.265,154.423,1203.343,3.43,2.823,1.1,,,,,,,,,35156.0,7043555.0,155.845,0.778,32887.0,0.728,0.212,4.7,people tested,2805153.0,2289249.0,515904.0,137050.0,126583.0,6.21,5.07,1.14,2801.0,70.37,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
3639,ARM,Asia,Armenia,3/18/21,181165.0,1024.0,697.0,3301.0,19.0,8.857,61137.595,345.568,235.216,1113.986,6.412,2.989,1.37,,,,,,,,,4687.0,788953.0,266.247,1.582,3858.0,1.302,0.181,5.5,tests performed,,,,,,,,,,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
4072,OWID_ASI,,Asia,3/18/21,26614482.0,120225.0,100698.571,413790.0,963.0,871.143,5736.068,25.911,21.703,89.182,0.208,0.188,,,,,,,,,,,,,,,,,,,155664739.0,64560317.0,20629771.0,3386241.0,4848410.0,3.35,1.39,0.44,1045.0,,4639847425.0,,,,,,,,,,,,,,
4501,AUS,Oceania,Australia,3/18/21,29183.0,17.0,11.571,909.0,0.0,0.0,1144.437,0.667,0.454,35.647,0.0,0.0,1.04,,,,,,,,,,15072203.0,591.07,,40330.0,1.582,0.0,3485.4,tests performed,226057.0,,,22500.0,14437.0,0.89,,,566.0,44.91,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
4900,AUT,Europe,Austria,3/18/21,504581.0,3357.0,2809.286,8982.0,26.0,26.286,56024.716,372.735,311.921,997.291,2.887,2.919,1.14,388.0,43.08,1451.0,161.108,,,,,298583.0,19576110.0,2173.578,33.152,289593.0,32.154,,,tests performed,1204759.0,897142.0,307617.0,33859.0,35860.0,13.38,9.96,3.42,3982.0,71.76,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
5294,AZE,Asia,Azerbaijan,3/18/21,243424.0,933.0,720.143,3314.0,7.0,7.429,24008.265,92.019,71.026,326.851,0.69,0.733,1.52,,,,,,,,,,,,,,,,,,,,,,5160.0,,,,509.0,67.59,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
5673,BHS,North America,Bahamas,3/18/21,8800.0,0.0,22.571,186.0,0.0,0.143,22377.736,0.0,57.397,472.984,0.0,0.363,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
6073,BHR,Asia,Bahrain,3/18/21,133779.0,642.0,671.143,491.0,2.0,1.857,78620.32,377.296,394.423,288.555,1.175,1.091,1.07,,,,,,,,,,,,,15658.0,9.202,0.043,23.3,units unclear,613946.0,386426.0,227520.0,16500.0,13360.0,36.08,22.71,13.37,7852.0,53.7,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
6466,BGD,Asia,Bangladesh,3/18/21,564939.0,2187.0,1540.429,8624.0,16.0,17.429,3430.33,13.28,9.354,52.365,0.097,0.106,1.63,,,,,,,,,20925.0,4346265.0,26.391,0.127,19024.0,0.116,0.081,12.3,tests performed,4687824.0,4687824.0,,,67100.0,2.85,2.85,,407.0,81.02,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
6844,BRB,North America,Barbados,3/18/21,3492.0,21.0,17.143,39.0,0.0,0.286,12151.539,73.076,59.654,135.713,0.0,0.994,0.82,,,,,,,,,,,,,,,,,,58214.0,58214.0,,2196.0,1073.0,20.26,20.26,,3734.0,70.37,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
7240,BLR,Europe,Belarus,3/18/21,306524.0,1254.0,1080.571,2130.0,9.0,8.571,32438.733,132.708,114.354,225.413,0.952,0.907,1.04,,,,,,,,,,,,,15601.0,1.651,0.069,14.4,tests performed,,,,,,,,,,27.78,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
7661,BEL,Europe,Belgium,3/18/21,822801.0,4659.0,3527.571,22624.0,24.0,36.286,70994.673,401.998,304.373,1952.092,2.071,3.131,1.26,543.0,46.852,2142.0,184.821,,,,,66691.0,10391422.0,896.615,5.754,54633.0,4.714,0.075,13.3,tests performed,1393652.0,959118.0,434534.0,71997.0,34973.0,12.03,8.28,3.75,3018.0,60.19,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
8033,BLZ,North America,Belize,3/18/21,12399.0,3.0,5.714,316.0,0.0,0.0,31182.961,7.545,14.371,794.727,0.0,0.0,0.74,,,,,,,,,,,,,,,,,,13150.0,13150.0,,1207.0,1174.0,3.31,3.31,,2953.0,73.15,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
8412,BEN,Africa,Benin,3/18/21,6501.0,0.0,0.0,81.0,0.0,0.0,536.245,0.0,0.0,6.681,0.0,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
8491,BMU,North America,Bermuda,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.0,,,,8720.0,50.93,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
8873,BTN,Asia,Bhutan,3/18/21,868.0,0.0,0.0,1.0,0.0,0.0,1124.918,0.0,0.0,1.296,0.0,0.0,0.23,,,,,,,,,2432.0,570591.0,739.479,3.152,2260.0,2.929,0.0,,samples tested,,,,,,,,,,39.35,771612.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
9257,BOL,South America,Bolivia,3/18/21,262941.0,885.0,814.429,12028.0,13.0,17.857,22525.516,75.816,69.77,1030.41,1.114,1.53,0.96,,,,,,,,,,830090.0,71.112,,6874.0,0.589,0.118,8.4,tests performed,155945.0,144816.0,11129.0,5352.0,3380.0,1.34,1.24,0.1,290.0,19.44,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
9647,BIH,Europe,Bosnia and Herzegovina,3/18/21,149891.0,1728.0,1271.571,5729.0,57.0,45.571,45687.123,526.698,387.578,1746.212,17.374,13.89,1.39,,,,,,,,,5368.0,733032.0,223.43,1.636,4302.0,1.311,0.296,3.4,tests performed,,,,,,,,,,45.37,3280815.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
10012,BWA,Africa,Botswana,3/18/21,35493.0,494.0,199.286,458.0,11.0,4.857,15092.968,210.068,84.744,194.759,4.678,2.065,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
10410,BRA,South America,Brazil,3/18/21,11780820.0,86982.0,71871.857,287499.0,2724.0,2087.143,55423.658,409.213,338.126,1352.558,12.815,9.819,1.08,,,,,,,,,,,,,,,,,,13013331.0,9709526.0,3303805.0,331041.0,324639.0,6.12,4.57,1.55,1527.0,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
10796,BRN,Asia,Brunei,3/18/21,203.0,0.0,1.571,3.0,0.0,0.0,464.018,0.0,3.592,6.857,0.0,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
11183,BGR,Europe,Bulgaria,3/18/21,295777.0,4008.0,3296.714,11817.0,102.0,103.286,42567.366,576.82,474.454,1700.668,14.68,14.865,1.28,609.0,87.646,7804.0,1123.129,,,,,,,,,14787.0,2.128,0.223,4.5,tests performed,356052.0,289311.0,66741.0,5350.0,4515.0,5.12,4.16,0.96,650.0,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
11569,BFA,Africa,Burkina Faso,3/18/21,12450.0,51.0,25.0,145.0,1.0,0.286,595.6,2.44,1.196,6.937,0.048,0.014,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,20903278.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
11933,BDI,Africa,Burundi,3/18/21,2542.0,81.0,20.857,3.0,0.0,0.0,213.779,6.812,1.754,0.252,0.0,0.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,11890781.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
12361,KHM,Asia,Cambodia,3/18/21,1578.0,37.0,50.429,1.0,0.0,0.0,94.384,2.213,3.016,0.06,0.0,0.0,1.38,,,,,,,,,,,,,,,,,,,,,,11739.0,,,,702.0,63.89,16718971.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
12750,CMR,Africa,Cameroon,3/18/21,40622.0,0.0,0.0,601.0,0.0,0.0,1530.257,0.0,0.0,22.64,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
